n121	NONHSAT122561.2
n417571	NA
n417799	NA
n417921	NONMMUT017881.2
n418823	NA
n418868	NA
n419134	NA
n419155	NONMMUT030187.2
n419550	NONMMUT034206.2
n420347	NA
n420410	NONMMUT045773.2
n420520	NONMMUT047303.2
n420521	NONMMUT047363.2
n420680	NONMMUT048166.2
n420689	NA
n420858	NONMMUT052752.2
n421245	NONMMUT056160.2
n421688	NA
n422222	NA
n422815	NONMMUT072452.2
n422824	NA
n422893	NONMMUT071578.2
n422894	NA
n422896	NA
n422898	NA
n422922	NA
n422923	NA
n422924	NA
n422979	NA
n422981	NA
n423074	NA
n423077	NA
n423086	NA
n423095	NA
n423126	NONMMUT013212.2
n423277	NA
n423338	NA
n423450	NA
n423451	NA
n423538	NA
n423775	NA
n423837	NA
n423862	NA
n423898	NA
n424058	NONMMUT056930.2
n424061	NONMMUT026347.2
n4292	NA
n4326	NA
n432	NA
n433	NA
n4341	NONMMUT046978.2
n434	NA
n4357	NA
n435	NA
n4366	NA
n4367	NA
n436	NA
n4372	NA
n4373	NA
n438	NA
n439	NA
n4428	NA
n4429	NA
n4430	NA
n4431	NA
n4432	NA
n4433	NA
n4434	NA
n4435	NA
n4436	NA
n4437	NA
n4438	NA
n4439	NA
n4469	NA
n4472	NA
n4483	NONSCET000420.2
n4484	NA
n4536	NA
n4541	NONHSAT087070.2
n4570	NA
n4595	NA
n4605	NONSCET000213.2
n4606	NONSCET000213.2
n4609	NONSCET000368.2
n4610	NONSCET000137.2
n4612	NONSCET000368.2
n4616	NA
n4618	NA
n4628	NA
n4629	NONSCET000421.2
n4637	NA
n4672	NA
n4679	NA
n4680	NA
n4681	NA
n4682	NA
n4683	NA
n4684	NA
n4722	NONMMUT070124.2
n4827	NA
n4828	NA
n4864	NA
n4870	NA
n4871	NONSCET000018.2
n4874	NONSCET000378.2
n4875	NONSCET000357.2
n4876	NA
n4877	NONSCET000236.2
n4878	NA
n4879	NONDMET001768.2
n4880	NA
n4881	NA
n4882	NA
n4883	NONSCET000151.2
n4887	NONSCET000323.2
n4908	NA
n4966	NA
n4980	NONMMUT064427.2
n4983	NONDMET001671.2
n4985	NONDMET001669.2
n4986	NA
n4987	NONDMET001670.2
n4988	NA
n4989	NA
n5000	NA
n5015	NA
n5023	NA
n5087	NA
n5179	NA
n5182	NONSCET000279.2
n5185	NA
n5188	NA
n5196	NA
n5197	NA
n5210	NA
n5214	NA
n5229	NONDMET001028.2
n5230	NA
n5295	NONDMET003012.2
n5296	NONHSAT093153.2
n5303	NONDMET002921.2
n5312	NA
n5313	NA
n5315	NA
n5330	NONDMET001491.2
n5333	NONDMET001491.2
n5337	NA
n5357	NONSCET000182.2
n5382	NONHSAT083854.2
n5385	NA
n5387	NA
n5408	NA
n5420	NA
n5436	NA
n5446	NONSCET000286.2
n5447	NA
n5450	NA
n5451	NA
n5543	NONHSAT130962.2
n5560	NA
n5561	NA
n5562	NA
n5563	NA
n5564	NA
n5574	NA
n557	NA
n558	NA
n559	NA
n560	NA
n5612	NA
n5622	NA
n5623	NA
n5625	NONSCET000032.2
n5627	NA
n5628	NA
n562	NA
n5726	NONHSAT046801.2
n5731	NONSCET000421.2
n5732	NONSCET000420.2
n5788	NA
n5789	NA
n5819	NONSCET000431.2
n5820	NA
n5821	NA
n5847	NA
n5945	NONSCET000377.2
n5970	NONSCET000280.2
n5971	NONSCET000280.2
n6004	NA
n6005	NONSCET000018.2
n6006	NA
n6007	NONSCET000018.2
n6008	NONSCET000026.2
n6009	NONSCET000026.2
n6020	NA
n6022	NA
n6023	NA
n6028	NONCELT002594.2
n6029	NA
n6030	NA
n6032	NA
n6034	NA
n6035	NA
n6036	NA
n6077	NA
n6118	NONSCET000377.2
n6119	NONSCET000368.2
n6120	NONSCET000368.2
n6130	NONSCET000182.2
n6131	NONSCET000182.2
n6133	NA
n6134	NONSCET000213.2
n6135	NONSCET000213.2
n6136	NONSCET000213.2
n6137	NONSCET000213.2
n6139	NONSCET000286.2
n6140	NONSCET000286.2
n6141	NA
n6142	NA
n6144	NONSCET000431.2
n6155	NA
n6159	NONSCET000414.2
n6162	NONSCET000421.2
n6163	NONSCET000420.2
n6164	NONSCET000420.2
n6165	NONSCET000421.2
n6171	NA
n638	NA
n643	NA
n690	NA
n695	NONMMUT064277.2
n717	NA
n718	NA
n726	NA
n739	NA
n741	NA
n742	NA
n745	NA
n785	NA
	
